ryukyu.	86400	in	soa	a.gmoregistry.net. noc.gmoregistry.net. 1769302942 1800 900 604800 3600
05pgf2gcdm2kas3cecumhted0t449ums.ryukyu.	3600	in	nsec3	1 0 0 - 05T1RJD6KPC5037LQC71C9SKLNER13TN NS
05pgf2gcdm2kas3cecumhted0t449ums.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260128034115 20260121024716 45091 ryukyu. EsBBUoQUzheISjo8RNEN9lIhxoWEzv3RFscMsakjtRzRJKLyUKiwwW9quSWqMQNTMQW6a9O+MvLqmIlEdvhEUm9gdx9gM71bs+c3rgL/Khn6YeZZwRjmU2FCImkjpAnIebKc99LV/lWd+ZvIaDuXLjOH6gPAaslVn1k4l/hwNvw=
05t1rjd6kpc5037lqc71c9sklner13tn.ryukyu.	3600	in	nsec3	1 0 0 - 08063E6RBIQHVHN3GCNHAH89GN8EMG72 NS
05t1rjd6kpc5037lqc71c9sklner13tn.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260130222043 20260123200910 45091 ryukyu. LBcW1T+800jWcvK9VphTa/5DleYrIn6KNN1FgXkuwSLbS3UvtDYxmNPDv0iDNboCM9NAS96AxI6oagsqlokQttD6EcAWFxcipoORLXAsWzxxmCKsfOI55SEVKhqkS9Y2X8GeMZScMeMVSvMEkVxGBU9YUKWsG2Cz4m8YFgDjGy4=
08063e6rbiqhvhn3gcnhah89gn8emg72.ryukyu.	3600	in	nsec3	1 0 0 - 0BAFA1UP1F89RPOD9JK163OO7NQK4S90 NS
08063e6rbiqhvhn3gcnhah89gn8emg72.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260131085413 20260123203910 45091 ryukyu. mecYl0Qh1Fm59ti9JtFCMMDyKRTXy6P6xv7zB+MH8Z1LsGVJ62XohfNbZIMAx8NI9i/XRFo8mFcwGVjtLFsgCIhFZxcpaF4l9lkcxaunv+QbgoL0WHcsFvIiPlVuHPOdjZ40Kk+rxH49DrcZ1NLa1dw2BJCfIKfddv5kmqlS6tA=
098.ryukyu.	86400	in	ns	01.dnsv.jp.
098.ryukyu.	86400	in	ns	02.dnsv.jp.
098.ryukyu.	86400	in	ns	03.dnsv.jp.
098.ryukyu.	86400	in	ns	04.dnsv.jp.
0bafa1up1f89rpod9jk163oo7nqk4s90.ryukyu.	3600	in	nsec3	1 0 0 - 0BM97OP4MPTG0048DM4LULUHQ2BQ07BU NS
0bafa1up1f89rpod9jk163oo7nqk4s90.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260128105144 20260121011310 45091 ryukyu. hTaCQI6CVkYLOvdSS/7lOZmXdBbdC4eJlOeZCTQUdvYin7ejh/gssVskqJXXBWHthEFcRnCSKtCCjFXtkEyVoYp8io+mE04peSh22WXVfxvBsbynVk8IO22jK0veSqOHrHXP39+N645t2TZdBiHgJxztcCcmT/RAVWFKLUTvksQ=
0bm97op4mptg0048dm4luluhq2bq07bu.ryukyu.	3600	in	nsec3	1 0 0 - 0DBJF944MMIVCNBM76QE25RML9RGB2S6 NS
0bm97op4mptg0048dm4luluhq2bq07bu.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260128083615 20260121104309 45091 ryukyu. owM/zpc/3PmADBaalNCsRfeW7JIfpSDVzjFN9UEuZ0MyA79T0u+ZwlpgTnVWYZQHAX1xam8x2icNsbBp6DWMt/h94/pqGdJsYYZucXDp+mCMWr/abar+mW0sCPpQZ7XgmaHK6/qONtwh7f6rpdFAKHx127cL95QoaquLeN5pM8Y=
0dbjf944mmivcnbm76qe25rml9rgb2s6.ryukyu.	3600	in	nsec3	1 0 0 - 0DQJKDDAHENE4MFUN5JNTRHEL8U0D3F5 NS
0dbjf944mmivcnbm76qe25rml9rgb2s6.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260129005756 20260121213811 45091 ryukyu. MFMguwQB54o6x7fGQUqL6W6Ux3N6FOzgdvwBzalz166btUI6Z5hT1LzGDeHQGYz69dgtaPtA4ZcnG2nEDKzlLcCCnWm8bdw3a1w/GfN9L4KS5O+n/Qgrun/jIGEhEQ2y7jOOFZmi0tl5U3xwLGO+wUn2cumIfJdYmC6riNdISH8=
0dqjkddahene4mfun5jntrhel8u0d3f5.ryukyu.	3600	in	nsec3	1 0 0 - 0HORK9TKQ2SJD3CQ6PDA6GU7GQRSU7HJ NS
0dqjkddahene4mfun5jntrhel8u0d3f5.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260129045116 20260121235715 45091 ryukyu. EUxVOC3KKV02WaqN67MuAlPRMpbQhkWo7WyRU5p2OJTTe0EU1bWNxcYbXVaf1HAwSAVw34/4oumgsw6UhE0U9F4OUmoZ+hcJir1n8kat3HAsD49YeSBOQhHNINjOR1Is2S/AG6EZylrBRr7wuu/6DCnEzt2UlPz2jyUA+/V+KO0=
0hork9tkq2sjd3cq6pda6gu7gqrsu7hj.ryukyu.	3600	in	nsec3	1 0 0 - 0I1PPLPA7VOPCMSLJ16HAJIU31CH6KOT NS
0hork9tkq2sjd3cq6pda6gu7gqrsu7hj.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260130082052 20260123170911 45091 ryukyu. e9d6cRu/Tuztc1xVsWt3J9oBn5QkKjhsEds2mkomGqPps50JG7om/rw6kpTw7ONQUuQIRI5kGslOq2ZxG/EX8hnOdmwjzkLksvZTVfI5EaNbXQ3s7sdO9HkAW6/ZyC8bMadhUn/ndNHivCpBg2rovteM3NVmumbkmrHfJa/Ys0E=
0i1pplpa7vopcmslj16hajiu31ch6kot.ryukyu.	3600	in	nsec3	1 0 0 - 0L9R81VS6NDLO8R8VS16B5KFTSA7Q08I NS
0i1pplpa7vopcmslj16hajiu31ch6kot.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260130013804 20260122231436 45091 ryukyu. AxafLtrhsq/3ZQjYG+A+YOrbBdgONFn+ktBJA3Mw1MVXS/wAqSjlwJRd4ucj5KkYa7uW6UEkZBzRpdOXD6Ni977yHPbLs2wb3caiZBLyjra3GnzcmdmwKvSQWMwPjZIdJGcOR8IspeamoYwkScNpIQs2oHaHjryO2ti2a8WT008=
0l9r81vs6ndlo8r8vs16b5kftsa7q08i.ryukyu.	3600	in	nsec3	1 0 0 - 0LNOA2D9DGK84FCTDL5CN83FK80HPINC NS
0l9r81vs6ndlo8r8vs16b5kftsa7q08i.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260129130700 20260122153910 45091 ryukyu. Y8J+mnjVZmr3/XmFbqzs3LGIq06Bry/PFJYiFxh3RK2/sMAwlzf1Jb75dk7bVNDgJFBk/krvymUv2o2DPU2I0nxVzrqnuuh+gwza4K+aj5j6xS2sEtegAx5hXHhbwM9FA+HZBFq0Zzd2SmVDVyRcOivrU7X1tVegdh3SGNmVBOc=
0lnoa2d9dgk84fctdl5cn83fk80hpinc.ryukyu.	3600	in	nsec3	1 0 0 - 0LQE3MJ6DD8MRKQATQ3Q7V3LA55JM7CJ NS
0lnoa2d9dgk84fctdl5cn83fk80hpinc.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260128095121 20260121012810 45091 ryukyu. oPSMwLEYmC/grV/RXa+pMUI/e3bJvsOOqhtcPw54Chwg/FRen5MTmXALS7Acl75POWgGHV8TYmymKNH3oqsT4DaE8gZ2FrxwuTIB4ekhMa+gGD0PwsUrQFS/uTFkevd2wcpZS90gIfBbq88PYO9snEHDl2X8wU1mSVzyphnKfiY=
0lqe3mj6dd8mrkqatq3q7v3la55jm7cj.ryukyu.	3600	in	nsec3	1 0 0 - 0OB7H0PHVEHMADP5KP9CG7TO5KI8II5D NS
0lqe3mj6dd8mrkqatq3q7v3la55jm7cj.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260130171131 20260123105608 45091 ryukyu. dPJbHeZRlmurcQI5W6jYzXoTWFbV8+XqEaJk5OdWk6AIIdOLBEV2gQ1JPIwuARDBCZSLlBNVkppEFseWwi+bKLLThgwzcO3pYkYcd6jKsQHhMW6BlTPE6VgdsqtaYKxQpOGdZoWcBz/JbKD9Z99bahvAg+aejUdn+ZiC7arN/q0=
0ob7h0phvehmadp5kp9cg7to5ki8ii5d.ryukyu.	3600	in	nsec3	1 0 0 - 0OKDUBIPE01274Q7UJ0CUMLPQEJRMDIM NS
0ob7h0phvehmadp5kp9cg7to5ki8ii5d.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260129071735 20260122051310 45091 ryukyu. Y1xwHC9kymPPGXH/+w07Ue9sH1SoDBD1UhmnsOstGC1o7xDRZrg1g+vh4XaAdmzl3lpp5FIq84CJFKGpkxFfvNChwjH8lRIPf374Tl+86IMSruSEoY74/rP2KY/vIpxBmI8tkarBKsK2FhWeoX2nxgx8FnEUJ4rN/RKvEYSFkic=
0okdubipe01274q7uj0cumlpqejrmdim.ryukyu.	3600	in	nsec3	1 0 0 - 0OR77S5JI4O36OB482U87GIDV60EODS1 NS
0okdubipe01274q7uj0cumlpqejrmdim.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260127173311 20260120235114 45091 ryukyu. DuTUr04RW/+7R01PglTjPkyzcA7MEmalINZhr4D1vwSrKG07kU16wuHUUgU7QAJ/Db7Ohi8EGP1Xi6n4hpqYMgJmLFvTxx5TXrmeyruEPfez1qyvtaY6ocWXryQVRsiYJr1Vo2U0XbqIpuoRhJ5hc2OrOoVBXdWOPJ40AD5z3No=
0or77s5ji4o36ob482u87gidv60eods1.ryukyu.	3600	in	nsec3	1 0 0 - 0Q2K2UI6V7P6SD0CKOVQNBOAFMRBLM88 NS
0or77s5ji4o36ob482u87gidv60eods1.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260128231333 20260121171809 45091 ryukyu. g+vJaFamRh21qNW4pBqxZWLkEL6sNT2tpAg0hg8jCmyEZ2umu5xF6kPOWHLrK8P5U429lHRkmS3FQVRA5lNASlyk8pMov2z2aTALmWz8KE9BWdZPFytPnl9+0ZLU+N2g+o7aZ3L5FSMNFzkWigJLpZfh03Tv9LncyOxme1fsVc0=
0q2k2ui6v7p6sd0ckovqnboafmrblm88.ryukyu.	3600	in	nsec3	1 0 0 - 0QCN3PQAA0A8PD3GKDBI8F078MB9GPLR NS
0q2k2ui6v7p6sd0ckovqnboafmrblm88.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260128131744 20260121005411 45091 ryukyu. N86YJTOTYf6gEUgcOHvGc71agZQVu/sozRlb+WGdP4lGOMM/RFLSCUiF0+WirSXtuqiEU9wFOP0ibBPxSwIxKuQdxtZhcZSSqiM3lWwDab9ISqeu7PnJ5whPrsezmGvamKpUhjccTMBRTZxTlWuvKCDs/HI4ebtj7jx7lufp6mc=
0qcn3pqaa0a8pd3gkdbi8f078mb9gplr.ryukyu.	3600	in	nsec3	1 0 0 - 0SJCMHOKEOQ0HQ792G1Q6FGD90NS9TFE NS
0qcn3pqaa0a8pd3gkdbi8f078mb9gplr.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260131083920 20260124093910 45091 ryukyu. gkFqDcJ8Pu50GeglZgbObP7IjGQL0VSKiwObu/AFoIKx1C8qX2mMXKaFJzsE2OYka2FRg7XJlh33ox79LtLV1p0Saess2v2/8bw8b+v1Yua1oYkjq4amVAIFegeoJLk8s1JhMJkrMy6Syw0cTPZiJDTeVxTg7Z50kWTKv9M7qSE=
0sjcmhokeoq0hq792g1q6fgd90ns9tfe.ryukyu.	3600	in	nsec3	1 0 0 - 0SU8D635DG2CI4F795KK430FLBPQGNA7 NS
0sjcmhokeoq0hq792g1q6fgd90ns9tfe.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260131093135 20260124191215 45091 ryukyu. cgJzxhGNRjcpFkCJ/wmAumuSY8QcUtnyEyyZs7Vc+J967KZD6x0tPn37QGpgyaFOyTh3sBxSaXmu+lqf5ck040virG9UN/ynAdBuw7YMQFNebgksG11gFEvNkWdNU/EUtL5CsRga0j1n6rlVmfkKHxYCCcE35NK23QiX2XOknsc=
0su8d635dg2ci4f795kk430flbpqgna7.ryukyu.	3600	in	nsec3	1 0 0 - 0TKAGEBD4TF4HLCAB5A9VKTCVK03JJ83 NS
0su8d635dg2ci4f795kk430flbpqgna7.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260130151900 20260123065108 45091 ryukyu. BC7D7IfPFeKxTzK1S+NHGHTaI4s9V2bkvo0Ed3D7OGVtCJPo3wSqCt5yPO8U7OxGbv18+DaoYi1otpb0omYjmxXH0c4slJezN9BAxusEhBo89Y+g3aRRrOkOgUCiAeOv1qtnLgh9CAa2WSr0VXCTl7DuWrsSK0VdRAVDBn4bmQw=
0tkagebd4tf4hlcab5a9vktcvk03jj83.ryukyu.	3600	in	nsec3	1 0 0 - 100I2THT4F4QQ8FR64GIPJNS540SUUQ4 NS
0tkagebd4tf4hlcab5a9vktcvk03jj83.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260129185816 20260122064717 45091 ryukyu. cN4aeduVmmuilW9+vp3PpUDboeiOlML3a9jLHzRQy6FU2t+y/9eu+3qriYbgDepTdqngDweRlpN4JgF23dfgqmcyq/eFXEnBdbgiKcm1RYXNKF0hkeFX1coFhkQjjtVtZiT5JiRDJvqumwR3GNHA5WzEalJDbdRa51y1f7mWTN0=
100i2tht4f4qq8fr64gipjns540suuq4.ryukyu.	3600	in	nsec3	1 0 0 - 1755UTC63NBSAL6CHI2VINTB7C7DH8KP NS
100i2tht4f4qq8fr64gipjns540suuq4.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260131055407 20260124132910 45091 ryukyu. SttTY2Z98pgUvikxO8oppR4DYvikIWZ5Oxhl/0C32wfBW/NtxFrfTRnS9WBd2rcLnFCQBiani9Fq8qN9RM5U8bicSOOi8TZr9KpM32hYaPLoHGnhE9t8Yhm/j4/z1WTXS6eLNcGTI6SEX8r5ZwLEdL2/RkBh8HPZ8oRyOan3wE4=
118.ryukyu.	86400	in	ns	ns3.afternic.com.
118.ryukyu.	86400	in	ns	ns4.afternic.com.
123b.ryukyu.	86400	in	ns	eloise.ns.cloudflare.com.
123b.ryukyu.	86400	in	ns	lex.ns.cloudflare.com.
12bet.ryukyu.	86400	in	ns	ariadne.ns.cloudflare.com.
12bet.ryukyu.	86400	in	ns	dale.ns.cloudflare.com.
1755utc63nbsal6chi2vintb7c7dh8kp.ryukyu.	3600	in	nsec3	1 0 0 - 17D1GFRHJQDJJM20GBICGK6HFQE3S1BD NS
1755utc63nbsal6chi2vintb7c7dh8kp.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260131190140 20260124163014 45091 ryukyu. hYhDnN3qFGrUm7Ta09BRSRTYso63Cb//Kb9BWAb2ioaA8nQ/RA03zr4K3ipXjxsVfqy0IJuQ03tRlH+AcLhxzS03iiPqhyiLGgqg9TX66zf5IKsvgxeF3b4tTcnsdWCQyK6LlagqolSYydHQt7f5tckHXFNx92fgHPx0i05e194=
17d1gfrhjqdjjm20gbicgk6hfqe3s1bd.ryukyu.	3600	in	nsec3	1 0 0 - 17NVQGECFOAGLN1K4JOVBFFAAHLCGTE0 NS
17d1gfrhjqdjjm20gbicgk6hfqe3s1bd.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260128231634 20260122011722 45091 ryukyu. Kwr9pIKdCPUQUZaLGhWIrjv6sqPmv6UBm2gRLchekBykrtaS6OaeWzvdoTh45FV+yT7KKwsd1fsKLyUajVedpNnuZ06uqxtR7EGieboiuW0pTqqZ0bvEnixOo7zQdR2Z8Yi90HVGh5aNAfzVtH5RZqumnY1nHKCk5inigeU+O6w=
17nvqgecfoagln1k4jovbffaahlcgte0.ryukyu.	3600	in	nsec3	1 0 0 - 19OBNGPOTA723CAU5U7HR4B9HU9O8AQV NS
17nvqgecfoagln1k4jovbffaahlcgte0.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260128215536 20260121170309 45091 ryukyu. RdRVtOVFxZM8BLRIwzQNv7XSJ4FdwxcGG8gjFSf77tijgQRvJaqJZAG+xpQnitJ7lMFurrrFNNve4BMSdt+BoxO0wlL+FPlVwohXfMHyPyZ1tL1eX6r1jbbOvbtFKQZDBB7+oJi4tKOhI0ptJZBFtZ2AoMoC8/vAZA2m7wqGaQw=
188bet.ryukyu.	86400	in	ns	pdns95.ultradns.biz.
188bet.ryukyu.	86400	in	ns	pdns95.ultradns.com.
188bet.ryukyu.	86400	in	ns	pdns95.ultradns.net.
188bet.ryukyu.	86400	in	ns	pdns95.ultradns.org.
19obngpota723cau5u7hr4b9hu9o8aqv.ryukyu.	3600	in	nsec3	1 0 0 - 19TPLCLHPL1SNRR6B0VI7IKODT4DQVIT NS
19obngpota723cau5u7hr4b9hu9o8aqv.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260131072346 20260124083515 45091 ryukyu. iAE75HyjX6Q7+QwZ/8d2XWyBGvh5GPr2+4v4Vldr+pxggDjOGZ5BXA12gfQBcD5x2IuqcdiMQCQnbQ2qPbaQo/pmsuzTNfWzfFZuuZv2s10rUu3QKOdbu6IoVkAdFfl3lTgMWU0+S7wQJr9cAz+6YkBcWVOQ3G8bWEyg35UC+qI=
19tplclhpl1snrr6b0vi7ikodt4dqvit.ryukyu.	3600	in	nsec3	1 0 0 - 1C2TFA85EN3VLI4U7FPDD8FS66K2AEL4 NS
19tplclhpl1snrr6b0vi7ikodt4dqvit.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260130075356 20260123011217 45091 ryukyu. C4Bo7JQOJS9d1w0voPQufOQfTQE0xWUN2atbgqtWe995GKMJRF8JAGqs+RTqNWWaWnqSC+BGAONhroHTBqSX8zcS3D2e5Hkaj72yl5HexJBaDgqCVr2Srq4NWJlY56KMdCs+WJe2rUeHU+qobxPQWkVvqo+sSWUgY+HThtEyP+o=
1c2tfa85en3vli4u7fpdd8fs66k2ael4.ryukyu.	3600	in	nsec3	1 0 0 - 1DCGRODCDCLHVTJESL78MQOK99ILR85O NS
1c2tfa85en3vli4u7fpdd8fs66k2ael4.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260129061621 20260122150910 45091 ryukyu. kzCrazBtzpy+fYs1dByToSFS2v4LlA4Yji+JVKRPluJJVKU4ku+uYhGfTiUs/vqxTCWrmxlF+OLeRVe+QA+n4lZRxOPrxFKsTer0uientS5d39HezevxOB4vJwvQKGm81hfevyTtqDQiWdQZp9NrNdzFxLrJ64ugU9STXdmDKuo=
1dcgrodcdclhvtjesl78mqok99ilr85o.ryukyu.	3600	in	nsec3	1 0 0 - 1FD4FH9TLOSD1GQSJ6FQUCK1JHHF50GS NS
1dcgrodcdclhvtjesl78mqok99ilr85o.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260129142124 20260122234436 45091 ryukyu. FUpap0l6mNa1EaD7wW5DoxpFuLjZaRmxbhLVd8wQUIO/wyC5ta5o+/Fo/+BlA80lC/vnzdNOUs5ns9jtCuLfiM89GOqqKt9Ol0cC35w4epwnMpSrukF3GjjWtp+cmoujfE0YsHL0DrL3kaQxu5u98617RJg85czu7IiXlZtheA0=
1fd4fh9tlosd1gqsj6fquck1jhhf50gs.ryukyu.	3600	in	nsec3	1 0 0 - 1G47664KHBKK10U78IBRAK2SQ3F4HBO7 NS
1fd4fh9tlosd1gqsj6fquck1jhhf50gs.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260127124549 20260120071419 45091 ryukyu. bfNNkfCjyw1ZMXWaf/mKDCWTJsYGjSzLl1hflOVEVgYJydHtBP+gmg/ssBg3YqP+YBFIxRBIgMHGeIM4ld5MCbj0KvsHsTW1Gd0TcAT+z36+R8jvW35JMGN4BdnjgVlIArRHA8lX1POZrsbOw4EOmlhhIJ5JqhpTbIX1rflpPvY=
1g47664khbkk10u78ibrak2sq3f4hbo7.ryukyu.	3600	in	nsec3	1 0 0 - 1HBGPMU5ALHS7UA252RSOQHEP3T6075T NS
1g47664khbkk10u78ibrak2sq3f4hbo7.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260128232911 20260121105409 45091 ryukyu. eaxw/GcnFPw+rfm000muptFeEhq+x4NXqaLlJnCdNWbh0clAOsT/7ura5TmXziQanu4kY0St3vvYd/RaxJqGvdNN/oean+ikItGBzYg/lbW9KdJPABhrL3ZlqL9qxG83L22INi49EVXM+gTVTBwXSuPMCXIW/ehVGYmcY3wsi74=
1gom.ryukyu.	86400	in	ns	bethany.ns.cloudflare.com.
1gom.ryukyu.	86400	in	ns	dion.ns.cloudflare.com.
1hbgpmu5alhs7ua252rsoqhep3t6075t.ryukyu.	3600	in	nsec3	1 0 0 - 1K29V1AUEAQCORPN07S5BTGGORB6B3NL NS
1hbgpmu5alhs7ua252rsoqhep3t6075t.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260128232305 20260122064717 45091 ryukyu. Fym40A2RBVkaTM1SZQrC+1joyjaKXd+MbswI8mMcpR1QAoklK2Nw7OEPL9fAspsQ/C2aLZjQHjDwUCv8JYe4qvukob1IlKgcHQIkm+w6DMI20+tfOgL2EVN5L0itqgu4086exAYCJ3PLPH4Fbr6SiDDbFmySW8LRFPV8CicGVaY=
1k29v1aueaqcorpn07s5btggorb6b3nl.ryukyu.	3600	in	nsec3	1 0 0 - 1K90KL297CC3NK68TPF1KMDCVDBGJFF5 NS
1k29v1aueaqcorpn07s5btggorb6b3nl.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260130152741 20260123210214 45091 ryukyu. jLsdU1on5ZY3hHWhHuT0HyhsUa2bBNXQrtq72pH7xGjtxTXnaSaMHCh+2gOubuCxQj30S/PY1Gu8g2Slig6dcyO062eL1wzie2FN7aVZyrK1HQ4ERa2r/EkkJH47vU2j54/SmDA6nzHb7L0nD7q3zOhVx6GXjFrFLp/2tgIBe7s=
1k90kl297cc3nk68tpf1kmdcvdbgjff5.ryukyu.	3600	in	nsec3	1 0 0 - 1KF1DEQTRTV2S1VULMF8EK0VA568OOIO NS
1k90kl297cc3nk68tpf1kmdcvdbgjff5.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260129091301 20260122121214 45091 ryukyu. WmXYxVNbxhDVHA6VzrZmKp2OC7umAIGrOtnxtsSfsbLk6VkVYKp3kfOrk9q/i7zptThMeg6j/1bpSTgC6AUtjOCaLZ3/pODXU462TGUsyBmh/lQLhGAkK3FNgPob6q425VJroFK8IsZE41YRMoH+LC+QjtxVS5tCSAd5Q8MmpqY=
1kf1deqtrtv2s1vulmf8ek0va568ooio.ryukyu.	3600	in	nsec3	1 0 0 - 1MCV29MKK66RMLVSP6Q6CUGQ6AHAL6ET NS
1kf1deqtrtv2s1vulmf8ek0va568ooio.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260129003729 20260122024613 45091 ryukyu. DE8oEf15+8fxWzi6AMTd2NR7+UA1A3cCc6XzaF1qsu0SPF/aduIYQuOrw2NPKIk3UmCwmENA0GgrvJI58n3m/iJbaoL2wq6Ek4PhQuK9Q0j78+2MsPTRl8TtDpLBcdlJH5TJRNS4BmugRC0XRHVLUIjDjYIPUK1oqwtXZyM1iXY=
1mcv29mkk66rmlvsp6q6cugq6ahal6et.ryukyu.	3600	in	nsec3	1 0 0 - 1MIA2D1KK7JI6KEFN3V2S952TUCQAGJP NS
1mcv29mkk66rmlvsp6q6cugq6ahal6et.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260127144647 20260120172818 45091 ryukyu. A77lD2knX4uJ942yi2NJS66a6MIhBj+maC4AHSQ6GEND4THmbgw2e8x6JHHppP3PoCNCX3RmEPyyglpXIBaQn6iXYaG1NQSA+eD8AbdwRYM6+Yocj+aR6bumpRLc3ZADyGvY0kq4md08LZHS31kE6Oa/dZst9rI/nOWVAe4G/gY=
1mia2d1kk7ji6kefn3v2s952tucqagjp.ryukyu.	3600	in	nsec3	1 0 0 - 1O4MT61J0H280Q5KB3U389HC8KP9HOFP NS
1mia2d1kk7ji6kefn3v2s952tucqagjp.ryukyu.	3600	in	rrsig	NSEC3 8 2 3600 20260129033208 20260121203411 45091 ryukyu. FuvC4TTnqJ4BoZ4oszoj6EeQKM6jVhO/priF2M7ZtLz1pGnlIJkuHE82AJU0JC3da6gW7G4PXxdY5cOaf99DJMub2SKG6K7r5cJMcm7SGPZZ1nNCr0w3HLrwFnBZ2OoSCrGT5pQQzC83d1eaWKNuIB5Ll30aCProR4CRMfMufOs=
1o4mt61j0h280q5kb3u389hc8kp9hofp.ryukyu.	3600	in	nsec3	1 0 0 - 1RIQMNGUHHSI7E01SIEJ6CLNMEDJRU0P NS
